keyutils 1.6.3-1.1
kguiaddons 5.104.0-1.1
kitty 0.27.1-1.1
kitty-shell-integration 0.27.1-1.1
kitty-terminfo 0.27.1-1.1
kmod 30-4
krb5 1.20.1-1.1
l-smash 2.14.5-3.1
lame 3.100-4.1
lapack 3.11.0-2
lcms2 2.15-1.1
ldb 2:2.7.1-1.1
ldns 1.8.3-2.1
less 1:608-2.1
lib32-brotli 1.0.9-5
lib32-bzip2 1.0.8-3
lib32-clang 15.0.7-2
lib32-curl 8.0.1-1
lib32-e2fsprogs 1.47.0-1
lib32-expat 2.5.0-2
lib32-gcc-libs 12.2.1-5
lib32-glibc 2.37-5
lib32-icu 72.1-2
lib32-keyutils 1.6.3-1
lib32-krb5 1.20.1-1
lib32-libcap 2.67-1
lib32-libdrm 2.4.115-1
lib32-libelf 0.189-1
lib32-libffi 3.4.4-1
lib32-libgcrypt 1.10.1-2
lib32-libglvnd 1.6.0-1
lib32-libgpg-error 1.46-1
lib32-libidn2 2.3.4-2
lib32-libldap 2.6.4-1
lib32-libpciaccess 0.17-1
lib32-libpsl 0.21.2-1
lib32-libssh2 1.10.0-2
lib32-libtirpc 1.3.3-2
lib32-libunistring 1.1-1
lib32-libunwind 1.6.2-2
lib32-libva 2.17.0-1
lib32-libva-intel-driver 2.4.1-1
lib32-libva-mesa-driver 23.0.1-1
lib32-libva-vdpau-driver 0.7.4-7
lib32-libvdpau 1.5-1
lib32-libx11 1.8.4-1
lib32-libxau 1.0.11-1
lib32-libxcb 1.15-2
lib32-libxcrypt 4.4.33-1
lib32-libxdamage 1.1.6-1
lib32-libxdmcp 1.1.4-1
lib32-libxext 1.3.5-1
lib32-libxfixes 6.0.0-2
lib32-libxml2 2.10.3-2
lib32-libxshmfence 1.3.2-1
lib32-libxxf86vm 1.1.5-1
lib32-llvm-libs 15.0.7-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-2
lib32-mesa 23.0.1-1
lib32-mesa-vdpau 23.0.1-1
lib32-ncurses 6.4-1
lib32-opencl-mesa 23.0.1-1
lib32-openssl 1:3.0.8-1
lib32-pam 1.5.2-1
lib32-systemd 253.1-1
lib32-vulkan-icd-loader 1.3.240-1
lib32-vulkan-intel 23.0.1-1
lib32-vulkan-mesa-layers 23.0.1-1
lib32-vulkan-radeon 23.0.1-1
lib32-wayland 1.21.0-1
lib32-xz 5.4.2-1
lib32-zlib 1.2.13-2
lib32-zstd 1.5.4-1
libabw 0.1.3-3.1
libadwaita 1:1.3.1-1.1
libaio 0.3.113-1.1
libappindicator-gtk3 12.10.0.r298-1
libarchive 3.6.2-2.1
libass 0.17.1-1.1
libassuan 2.5.5-1.1
libasyncns 1:0.8+r3+g68cd5af-2.1
libatasmart 0.19-5.1
libatomic_ops 7.6.14-1.1
libavc1394 0.5.4-5.1
libavif 0.11.1-1.1
libavtp 0.2.0-2.1
libb2 0.98.1-2.1
libblockdev 2.28-1.1
libbluray 1.3.4-1.1
libbpf 1.1.0-1.1
libbs2b 3.1.0-8.1
libbsd 0.11.7-1.1
libbytesize 2.7-1.1
libcaca 0.99.beta20-1.1
libcamera 0.0.4-3.1
libcamera-ipa 0.0.4-3.1
libcanberra 1:0.30+r2+gc0620e4-3.1
libcap 2.67-1.1
libcap-ng 0.8.3-1.1
libcdio 2.1.0-3.1
libcdio-paranoia 10.2+2.0.1-2.1
libcdr 0.1.7-5.1
libclc 15.0.7-2
libcloudproviders 0.3.1+r8+g3a229ee-1.1
libcolord 1.4.6-1.1
libconfig 1.7.3-2.1
libcups 1:2.4.2-6.1
libdaemon 0.14-5.1
libdatrie 0.2.13-2.1
libdbusmenu-glib 16.04.0-5.1
